"fips","year","percent_transfers_no_ss"
"16073",2008,0.0581504793392956
"16073",2009,0.0733228013809875
"16073",2010,0.0682035262565731
"16073",2011,0.0631893921614644
"16073",2012,0.0480282466516693
"16073",2013,0.0465862302905535
"16073",2014,0.0469797404537391
"16073",2015,0.0469088604756081
"16073",2016,0.0485489273568744
"16075",2000,0.0436593149233828
"16075",2001,0.0436593149233828
"16075",2002,0.0424351339855381
"16075",2003,0.0417305737502782
"16075",2004,0.0389442288169912
"16075",2005,0.0411518212098421
"16075",2006,0.0377683738366716
"16075",2007,0.0401190086669355
"16075",2008,0.0566172031299942
"16075",2009,0.0641761783018297
"16075",2010,0.066992012905142
"16075",2011,0.0611586581091336
"16075",2012,0.0498784459428467
"16075",2013,0.0468824396836173
"16075",2014,0.0475024680150214
"16075",2015,0.0465997741403705
"16075",2016,0.0478431244717535
"16077",2000,0.0427989600840997
"16077",2001,0.0427989600840997
"16077",2002,0.0459912044330631
"16077",2003,0.0512206448188935
"16077",2004,0.0427002777667777
"16077",2005,0.0445836341958993
"16077",2006,0.0398938976051604
"16077",2007,0.0388245697939884
"16077",2008,0.0563152992816503
"16077",2009,0.0569875206459901
"16077",2010,0.0654994886223876
"16077",2011,0.0566935541599008
"16077",2012,0.046925406724611
"16077",2013,0.0451884579235215
"16077",2014,0.0492764032882508
"16077",2015,0.0497084869332676
"16077",2016,0.0510520275439939
"16079",2000,0.0611452375909059
"16079",2001,0.0611452375909059
"16079",2002,0.0679826574104327
"16079",2003,0.0695328866136707
"16079",2004,0.0646441753545296
"16079",2005,0.0606033946447311
"16079",2006,0.0528631670875485
"16079",2007,0.052140998750702
"16079",2008,0.0776888605219103
"16079",2009,0.0821542725586178
"16079",2010,0.0818310895095739
"16079",2011,0.0730152227073118
"16079",2012,0.0591441413529964
"16079",2013,0.0583941782020492
"16079",2014,0.0581163188210115
"16079",2015,0.0557459863339676
"16079",2016,0.0569929983866529
"16081",2000,0.0258520290390744
"16081",2001,0.0258520290390744
"16081",2002,0.0256422045464995
"16081",2003,0.0270626936464828
"16081",2004,0.0264980572917924
"16081",2005,0.0254047977804884
"16081",2006,0.0207712173015453
"16081",2007,0.0218530378009731
"16081",2008,0.0386490376617459
"16081",2009,0.0440906379046126
"16081",2010,0.0544030397436826
"16081",2011,0.0458526798721008
"16081",2012,0.0348155678980335
"16081",2013,0.0340954298424954
"16081",2014,0.0338791591000031
"16081",2015,0.0328892835165823
"16081",2016,0.0321201228188422
"16083",2000,0.0384984309465713
"16083",2001,0.0384984309465713
"16083",2002,0.0405474964024993
"16083",2003,0.040980469341408
"16083",2004,0.0379877755831954
"16083",2005,0.0381925783530296
"16083",2006,0.0360973098996225
"16083",2007,0.0362072609106661
"16083",2008,0.0515426436860152
"16083",2009,0.0603282391340012
"16083",2010,0.0755325073330013
"16083",2011,0.0720743843636955
"16083",2012,0.056386319050755
"16083",2013,0.0479499532174906
"16083",2014,0.0477093417826457
"16083",2015,0.0459335409729002
"16083",2016,0.0462168969783551
"16085",2000,0.0353693111390568
"16085",2001,0.0353693111390568
"16085",2002,0.0427643917337953
"16085",2003,0.0418374523013928
"16085",2004,0.0340240065432199
"16085",2005,0.0280103816281337
"16085",2006,0.0243820690673802
"16085",2007,0.0259458000253425
"16085",2008,0.0452695371572811
"16085",2009,0.0560063358288131
"16085",2010,0.0579076082175553
"16085",2011,0.0509288711720177
"16085",2012,0.0355737166177965
"16085",2013,0.0347600532427402
"16085",2014,0.0330219805088844
"16085",2015,0.0319647067370242
"16085",2016,0.0320172326193665
"16087",2000,0.0480755722417343
"16087",2001,0.0480755722417343
"16087",2002,0.0485733182161754
"16087",2003,0.0506579761560992
"16087",2004,0.0472315213575691
"16087",2005,0.0470646146836391
"16087",2006,0.0449236264721707
"16087",2007,0.0452892792902922
"16087",2008,0.0616863609052674
"16087",2009,0.0679485356098475
"16087",2010,0.0733021966673551
"16087",2011,0.0684317456222387
"16087",2012,0.0549352721999035
"16087",2013,0.0507393878556358
"16087",2014,0.0538680924720188
"16087",2015,0.0542469914709662
"16087",2016,0.058834146529099
"17000",2000,0.0273824250382346
"17000",2001,0.0273824250382346
"17000",2002,0.0297780754776113
"17000",2003,0.0296514167862284
"17000",2004,0.0278243888693435
"17000",2005,0.0293303952735397
"17000",2006,0.0281183334768846
"17000",2007,0.0276745656342098
"17000",2008,0.0380635939371933
"17000",2009,0.046580119507322
"17000",2010,0.0524656725278845
"17000",2011,0.0478399522267814
"17000",2012,0.039612145186596
"17000",2013,0.037939468806378
"17000",2014,0.0350439224054195
"17000",2015,0.0351403749988567
"17000",2016,0.0345458763050277
"17001",2000,0.0349932384895179
"17001",2001,0.0349932384895179
"17001",2002,0.0361342844999058
"17001",2003,0.0357411273918969
