"fips","year","race","less_12","college"
"01015",2010,1,0.242295190730394,0.122266221408341
"01015",2015,0,0.181225363643249,0.182404781572937
"01015",2015,1,0.215608036852705,0.144171601318493
"01017",2000,0,0.298119257854239,0.122770966458864
"01017",2000,1,0.473074503709336,0.0427229369807272
"01017",2010,0,0.24849103358162,0.144344929755593
"01017",2010,1,0.343124926114736,0.0435800027933181
"01017",2015,0,0.165875073634111,0.150448222824521
"01017",2015,1,0.290991637187102,0.0537017390786676
"01019",2000,0,0.36320348760205,0.0982269918141712
"01019",2000,1,0.375314575534356,0.0696280642434489
"01019",2010,0,0.272105998885164,0.108454549370147
"01019",2010,1,0.164523215258224,0.0227256462845158
"01019",2015,0,0.210173669574617,0.139741504307752
"01019",2015,1,0.119458675896816,0.0591174914271423
"01021",2000,0,0.320263956071785,0.106254211113082
"01021",2000,1,0.422153299685627,0.0545146256999705
"01021",2010,0,0.226755733752515,0.131632056102487
"01021",2010,1,0.254458840967328,0.0736674680666634
"01021",2015,0,0.206740200696107,0.148018288276482
"01021",2015,1,0.189008298431838,0.103851679693365
"01023",2000,0,0.301317751761994,0.130787902114529
"01023",2000,1,0.424391243263197,0.0431094856991477
"01023",2010,0,0.233220874680607,0.129452129294571
"01023",2010,1,0.380477777573763,0.0699561936667865
"01023",2015,0,0.19569992580572,0.112440547719651
"01023",2015,1,0.290941659865154,0.118112756688373
"01025",2000,0,0.224135809631089,0.163547658514828
"01025",2000,1,0.397672681924649,0.0505068759801296
"01025",2010,0,0.162073707745997,0.176787085041184
"01025",2010,1,0.357821156698616,0.0728830052733138
"01025",2015,0,0.156249323955685,0.184874829294966
"01025",2015,1,0.247606916296276,0.0512821446100012
"01027",2000,0,0.32414521669768,0.0871420756654074
"01027",2000,1,0.424100723562366,0.0264807721066133
"01027",2010,0,0.264183500539678,0.10438363244187
"01027",2010,1,0.38348553600709,0.0658825233647116
"01027",2015,0,0.23351442426944,0.100812072766192
"01027",2015,1,0.347941228357309,0.0492224176930534
"01029",2000,0,0.367062654183229,0.0949384782550306
"01029",2000,1,0.429015851069083,0.0432077428275147
"01029",2010,0,0.295001867057883,0.0859090352252131
"01029",2010,1,0.249221747203869,0.0830016841559787
"01029",2015,0,0.24641258168677,0.118711640162607
"01029",2015,1,0.201788727119698,0.109408026504439
"01031",2000,0,0.236740227749597,0.217372644872706
"01031",2000,1,0.432668689127744,0.085372509784402
"01031",2010,0,0.169362327441977,0.244594350617219
"01031",2010,1,0.344390617484389,0.107588544932756
"01031",2015,0,0.142075035191373,0.259445521127003
"01031",2015,1,0.204673535733326,0.136392080586876
"01033",2000,0,0.252729443047563,0.151965258921599
"01033",2000,1,0.35095167183719,0.0754210648912798
"01033",2010,0,0.188799117079153,0.165862791697983
"01033",2010,1,0.248957839794357,0.15949424346956
"01033",2015,0,0.156953194671711,0.191338222909584
