"fips","in_mig","out_mig","net_mig","year"
"12069",61108,31862,29246,2000
"12071",103704,57706,45998,2000
"12073",69293,57530,11763,2000
"12075",9379,5799,3580,2000
"12077",1580,693,887,2000
"12079",2828,2771,57,2000
"12081",64652,36239,28413,2000
"12083",63226,36976,26250,2000
"12085",35138,22804,12334,2000
"12086",148878,308592,-159714,2000
"12087",20064,24874,-4810,2000
"12089",13780,9243,4537,2000
"12091",43703,43365,338,2000
"12093",6796,6646,150,2000
"12095",212989,184521,28468,2000
"12097",47406,30505,16901,2000
"12099",215973,154972,61001,2000
"12101",89422,49072,40350,2000
"12103",170113,135907,34206,2000
"12105",86433,65684,20749,2000
"12107",12683,10557,2126,2000
"12109",39956,24485,15471,2000
"12111",42843,30281,12562,2000
"12113",33894,20928,12966,2000
"12115",74554,51581,22973,2000
"12117",102230,75619,26611,2000
"12119",21978,6018,15960,2000
"12121",8102,4988,3114,2000
"12123",3340,2673,667,2000
"12125",3845,1868,1977,2000
"12127",96125,66559,29566,2000
"12129",6392,3450,2942,2000
"12131",11007,6809,4198,2000
"12133",5206,3676,1530,2000
"13001",2060,2404,-344,2000
"13003",1005,1113,-108,2000
"13005",1505,1269,236,2000
"13007",586,648,-62,2000
"13009",10242,6508,3734,2000
"13011",3376,1979,1397,2000
"13013",13945,7517,6428,2000
"13015",17536,9490,8046,2000
"13017",2155,2932,-777,2000
"13019",2956,2638,318,2000
"13021",23365,30477,-7112,2000
"13023",1785,1419,366,2000
"13025",2662,1923,739,2000
"13027",3284,2524,760,2000
"13029",8061,5356,2705,2000
"13031",17485,12728,4757,2000
"13033",2940,4619,-1679,2000
"13035",6263,2900,3363,2000
"13037",1345,1313,32,2000
"13039",15917,12251,3666,2000
"13043",1462,1419,43,2000
"13045",19078,12546,6532,2000
"13047",13530,8142,5388,2000
"13049",2332,1946,386,2000
"13051",42855,50830,-7975,2000
"13053",9699,15348,-5649,2000
"13055",3626,2646,980,2000
"13057",45737,24557,21180,2000
"13059",38791,32808,5983,2000
"13061",542,752,-210,2000
"13063",74289,64517,9772,2000
"13065",935,1458,-523,2000
"13067",174480,140223,34257,2000
"13069",6145,4621,1524,2000
"13071",6607,4774,1833,2000
"13073",24385,18802,5583,2000
"13075",2677,2378,299,2000
"13077",24774,13079,11695,2000
"13079",3036,1468,1568,2000
"13081",2803,3416,-613,2000
"13083",3502,2215,1287,2000
"13085",5662,2637,3025,2000
"13087",4329,4526,-197,2000
"13089",173043,175592,-2549,2000
"13091",2933,2207,726,2000
"13093",2263,1699,564,2000
"13095",14774,21297,-6523,2000
"13097",24430,19972,4458,2000
"13099",1612,2307,-695,2000
"13101",976,312,664,2000
"13103",10121,4522,5599,2000
"13105",2697,2841,-144,2000
"13107",2386,3178,-792,2000
"13109",2505,1645,860,2000
"13111",4263,2282,1981,2000
"13113",28736,18316,10420,2000
"13115",14047,11090,2957,2000
"13117",40199,13066,27133,2000
"13119",4519,3667,852,2000
"13121",219347,249360,-30013,2000
"13123",6185,2717,3468,2000
"13125",571,267,304,2000
"13127",13055,11404,1651,2000
"13129",8191,5165,3026,2000
"13131",3575,3128,447,2000
"13133",2916,2112,804,2000
"13135",177381,113548,63833,2000
"13137",7281,3835,3446,2000
"13139",26887,17596,9291,2000
"13141",1680,1249,431,2000
"13143",4917,3434,1483,2000
"13145",6766,4205,2561,2000
"13147",4433,2866,1567,2000
"13149",2342,1320,1022,2000
"13151",42237,16624,25613,2000
"13153",26967,21968,4999,2000
"13155",1496,1329,167,2000
"13157",11688,6007,5681,2000
"13159",2908,1817,1091,2000
"13161",1820,1737,83,2000
"13163",1750,2597,-847,2000
"13165",1238,1096,142,2000
"13167",999,1131,-132,2000
"13169",5257,3282,1975,2000
"13171",3738,2234,1504,2000
"13173",2006,1001,1005,2000
"13175",5808,5286,522,2000
"13177",6732,3103,3629,2000
"13179",24908,26213,-1305,2000
"13181",1261,1114,147,2000
"13183",3481,1233,2248,2000
"13185",22786,20564,2222,2000
"13187",6949,3316,3633,2000
"13189",3070,3300,-230,2000
"13191",2335,1747,588,2000
"13193",1547,2637,-1090,2000
"13195",4539,4651,-112,2000
"13197",1723,1068,655,2000
"13199",3888,3690,198,2000
"13201",957,891,66,2000
"13205",3743,3341,402,2000
"13207",4437,3660,777,2000
"13209",2016,1409,607,2000
"13211",3074,2902,172,2000
"13213",6999,3875,3124,2000
"13215",38271,34055,4216,2000
"13217",16732,9341,7391,2000
"13219",8466,4582,3884,2000
"13221",2570,1704,866,2000
"13223",28296,12041,16255,2000
"13225",5386,5156,230,2000
"13227",5366,2901,2465,2000
"13229",2664,2111,553,2000
"13231",3629,2174,1455,2000
"13233",5514,5135,379,2000
"13235",2300,1461,839,2000
"13237",4338,2309,2029,2000
"13239",588,561,27,2000
"13241",2665,2691,-26,2000
"13243",1068,1173,-105,2000
"13245",39185,45591,-6406,2000
"13247",18737,16436,2301,2000
"13249",736,557,179,2000
"13251",1871,1592,279,2000
"13253",1603,1583,20,2000
"13255",10147,9703,444,2000
"13257",3982,3828,154,2000
"13259",749,1467,-718,2000
"13261",5097,5441,-344,2000
"13263",801,1865,-1064,2000
"13265",305,290,15,2000
"13267",6526,3511,3015,2000
"13269",1102,1158,-56,2000
"13271",1168,2405,-1237,2000
"13273",1557,1335,222,2000
"13275",5721,8014,-2293,2000
"13277",5830,6644,-814,2000
"13279",4201,4392,-191,2000
"13281",2702,1392,1310,2000
"13283",941,583,358,2000
"13285",9338,9545,-207,2000
"13287",1222,1246,-24,2000
"13289",1776,1250,526,2000
"13291",4505,1751,2754,2000
"13293",3275,3446,-171,2000
"13295",10209,10731,-522,2000
"13297",16348,8706,7642,2000
"13299",7228,6567,661,2000
"13301",810,960,-150,2000
"13303",2892,2233,659,2000
"13305",5715,3791,1924,2000
"13307",409,306,103,2000
"13309",1734,617,1117,2000
"13311",6001,2683,3318,2000
"13313",12484,15223,-2739,2000
"13315",2052,1354,698,2000
"13317",1262,1381,-119,2000
"13319",1451,1366,85,2000
"13321",3610,3091,519,2000
"15001",18610,21920,-3310,2000
"15003",105760,175626,-69866,2000
"15005",14,14,0,2000
"15007",6788,9447,-2659,2000
"15009",18004,18302,-298,2000
"16001",68352,49341,19011,2000
"16003",840,1136,-296,2000
"16005",15685,17915,-2230,2000
"16007",1088,1415,-327,2000
"16009",1704,2084,-380,2000
"16011",5923,8644,-2721,2000
"16013",4670,4485,185,2000
"16015",2304,2627,-323,2000
"16017",8938,6936,2002,2000
"16019",15486,17845,-2359,2000
"16021",2006,1961,45,2000
"16023",524,840,-316,2000
"16025",308,377,-69,2000
"16027",31129,18852,12277,2000
"16029",1078,1717,-639,2000
"16031",4103,5754,-1651,2000
"16033",227,355,-128,2000
"16035",1866,2091,-225,2000
"16037",966,1433,-467,2000
"16039",10645,8045,2600,2000
"16041",2026,2208,-182,2000
"16043",2149,2849,-700,2000
"16045",3359,2692,667,2000
"16047",3023,2978,45,2000
"16049",3518,3849,-331,2000
"16051",3803,4298,-495,2000
"16053",4241,4509,-268,2000
"16055",27207,16790,10417,2000
"16057",12115,12021,94,2000
"16059",1487,1854,-367,2000
"16061",818,1100,-282,2000
"16063",1028,1097,-69,2000
"16065",11519,7887,3632,2000
"16067",3032,4365,-1333,2000
"16069",7608,7841,-233,2000
"16071",634,743,-109,2000
"16073",3009,2251,758,2000
"16075",5072,4193,879,2000
"16077",1330,1900,-570,2000
