"year","fips","labor_force","employed","unemployed","percent_unemployment"
NA,"NANA",NA,NA,NA,NA
"1990","13051",100184,95519,4665,4.7
"1990","13053",2251,2017,234,10.4
"1990","13055",10686,9893,793,7.4
"1990","13057",50991,48867,2124,4.2
"1990","13059",43287,40755,2532,5.8
"1990","13061",1320,1258,62,4.7
"1990","13063",102614,97087,5527,5.4
"1990","13065",2566,2437,129,5
"1990","13067",265592,254819,10773,4.1
"1990","13069",14339,13303,1036,7.2
"1990","13071",16579,15709,870,5.2
"1990","13073",34576,33429,1147,3.3
"1990","13075",6335,5931,404,6.4
"1990","13077",27559,25950,1609,5.8
"1990","13079",4278,3989,289,6.8
"1990","13081",8658,8056,602,7
"1990","13083",6229,5859,370,5.9
"1990","13085",5225,4960,265,5.1
"1990","13087",10997,10515,482,4.4
"1990","13089",316619,300964,15655,4.9
"1990","13091",7598,7143,455,6
"1990","13093",3963,3717,246,6.2
"1990","13095",42489,39200,3289,7.7
"1990","13097",39551,37693,1858,4.7
"1990","13099",5109,4796,313,6.1
"1990","13101",1036,985,51,4.9
"1990","13103",12271,11801,470,3.8
"1990","13105",8938,8200,738,8.3
"1990","13107",8878,8056,822,9.3
"1990","13109",3867,3707,160,4.1
"1990","13111",6944,6402,542,7.8
"1990","13113",33372,32275,1097,3.3
"1990","13115",42150,38895,3255,7.7
"1990","13117",24750,23624,1126,4.5
"1990","13119",8248,7589,659,8
"1990","13121",339328,320341,18987,5.6
"1990","13123",6625,6134,491,7.4
"1990","13125",1118,1052,66,5.9
"1990","13127",30463,29139,1324,4.3
"1990","13129",18945,17476,1469,7.8
"1990","13131",9373,8907,466,5
"1990","13133",5190,4836,354,6.8
"1990","13135",214380,205504,8876,4.1
"1990","13137",14058,13328,730,5.2
"1990","13139",52512,49604,2908,5.5
"1990","13141",3616,3386,230,6.4
"1990","13143",10386,9667,719,6.9
"1990","13145",8660,8214,446,5.2
"1990","13147",9715,9109,606,6.2
"1990","13149",3955,3750,205,5.2
"1990","13151",32248,30764,1484,4.6
"1990","13153",42725,41005,1720,4
"1990","13155",3880,3652,228,5.9
"1990","13157",15044,14090,954,6.3
"1990","13159",3830,3604,226,5.9
"1990","13161",5845,5467,378,6.5
"1990","13163",7468,6867,601,8
"1990","13165",3552,3200,352,9.9
"1990","13167",3668,3422,246,6.7
"1990","13169",10607,10168,439,4.1
"1990","13171",6148,5824,324,5.3
"1990","13173",2501,2383,118,4.7
"1990","13175",18468,17466,1002,5.4
"1990","13177",7882,7446,436,5.5
"1990","13179",13848,12898,950,6.9
"1990","13181",3292,3102,190,5.8
"1990","13183",2453,2333,120,4.9
"1990","13185",33946,32343,1603,4.7
"1990","13187",7191,6824,367,5.1
"1990","13189",9518,8984,534,5.6
"1990","13191",3823,3539,284,7.4
"1990","13193",5820,5302,518,8.9
"1990","13195",11196,10413,783,7
"1990","13197",2264,1974,290,12.8
"1990","13199",9514,8801,713,7.5
"1990","13201",2670,2579,91,3.4
"1990","13205",9033,8163,870,9.6
"1990","13207",8215,7698,517,6.3
"1990","13209",3340,3113,227,6.8
"1990","13211",6383,5926,457,7.2
"1990","13213",14315,13324,991,6.9
"1990","13215",76423,71666,4757,6.2
"1990","13217",20737,19282,1455,7
"1990","13219",9439,9031,408,4.3
"1990","13221",5144,4839,305,5.9
"1990","13223",22060,20938,1122,5.1
"1990","13225",9459,8901,558,5.9
"1990","13227",7652,7034,618,8.1
"1990","13229",6333,5940,393,6.2
"1990","13231",4991,4713,278,5.6
"1990","13233",16464,14646,1818,11
"1990","13235",3596,3389,207,5.8
"1990","13237",6826,6596,230,3.4
"1990","13239",872,813,59,6.8
"1990","13241",5759,5460,299,5.2
"1990","13243",3078,2830,248,8.1
"1990","13245",85218,80551,4667,5.5
"1990","13247",30049,28733,1316,4.4
"1990","13249",1656,1506,150,9.1
"1990","13251",6045,5574,471,7.8
"1990","13253",4034,3870,164,4.1
"1990","13255",26651,25128,1523,5.7
"1990","13257",11916,11047,869,7.3
"1990","13259",2140,1958,182,8.5
"1990","13261",13681,12458,1223,8.9
"1990","13263",2867,2668,199,6.9
"1990","13265",752,712,40,5.3
"1990","13267",6847,6511,336,4.9
"1990","13269",3187,2901,286,9
"1990","13271",4726,4323,403,8.5
"1990","13273",4575,4191,384,8.4
"1990","13275",18114,17209,905,5
"1990","13277",17612,16324,1288,7.3
"1990","13279",10781,10080,701,6.5
"1990","13281",2822,2640,182,6.4
"1990","13283",2667,2464,203,7.6
"1990","13285",26287,24678,1609,6.1
"1990","13287",3533,3255,278,7.9
"1990","13289",4023,3779,244,6.1
"1990","13291",5169,4934,235,4.5
"1990","13293",12365,11669,696,5.6
"1990","13295",28422,26617,1805,6.4
"1990","13297",19504,18179,1325,6.8
"1990","13299",14764,13861,903,6.1
"1990","13301",2564,2346,218,8.5
"1990","13303",8493,7995,498,5.9
"1990","13305",10314,9639,675,6.5
"1990","13307",1064,978,86,8.1
"1990","13309",2045,1896,149,7.3
