"fips","year","new_total_mds"
"16031",2015,20
"16033",2015,0
"16035",2015,18
"16037",2015,0
"16039",2015,24
"16041",2015,5
"16043",2015,2
"16045",2015,11
"16047",2015,4
"16049",2015,11
"16051",2015,4
"16053",2015,12
"16055",2015,298
"16057",2015,53
"16059",2015,7
"16061",2015,0
"16063",2015,2
"16065",2015,35
"16067",2015,6
"16069",2015,77
"16071",2015,0
"16073",2015,1
"16075",2015,15
"16077",2015,1
"16079",2015,5
"16081",2015,11
"16083",2015,148
"16085",2015,20
"16087",2015,7
"17001",2015,160
"17003",2015,3
"17005",2015,15
"17007",2015,74
"17009",2015,3
"17011",2015,39
"17013",2015,2
"17015",2015,7
"17017",2015,1
"17019",2015,690
"17021",2015,23
"17023",2015,7
"17025",2015,6
"17027",2015,25
"17029",2015,76
"17031",2015,22150
"17033",2015,18
"17035",2015,2
"17037",2015,79
"17039",2015,9
"17041",2015,8
"17043",2015,4206
"17045",2015,8
"17047",2015,1
"17049",2015,73
"17051",2015,6
"17053",2015,13
"17055",2015,20
"17057",2015,20
"17059",2015,2
"17061",2015,4
"17063",2015,47
"17065",2015,7
"17067",2015,8
"17069",2015,3
"17071",2015,1
"17073",2015,22
"17075",2015,18
"17077",2015,198
"17079",2015,2
"17081",2015,94
"17083",2015,14
"17085",2015,12
"17087",2015,2
"17089",2015,651
"17091",2015,140
"17093",2015,76
"17095",2015,75
"17097",2015,2515
"17099",2015,96
"17101",2015,7
"17103",2015,56
"17105",2015,28
"17107",2015,17
"17109",2015,31
"17111",2015,347
"17113",2015,332
"17115",2015,255
"17117",2015,22
"17119",2015,305
"17121",2015,46
"17123",2015,0
"17125",2015,8
"17127",2015,6
"17129",2015,9
"17131",2015,4
"17133",2015,17
"17135",2015,21
"17137",2015,42
"17139",2015,5
"17141",2015,36
"17143",2015,979
"17145",2015,14
"17147",2015,8
"17149",2015,12
"17151",2015,1
"17153",2015,0
"17155",2015,1
"17157",2015,27
"17159",2015,17
"17161",2015,234
"17163",2015,407
"17165",2015,29
"17167",2015,1217
"17169",2015,1
"17171",2015,0
"17173",2015,9
"17175",2015,2
"17177",2015,56
"17179",2015,157
"17181",2015,23
"17183",2015,79
"17185",2015,9
"17187",2015,11
"17189",2015,3
"17191",2015,8
"17193",2015,4
"17195",2015,58
"17197",2015,892
"17199",2015,150
"17201",2015,698
"17203",2015,44
"18001",2015,14
"18003",2015,958
"18005",2015,174
"18007",2015,1
"18009",2015,9
"18011",2015,502
"18013",2015,11
"18015",2015,4
"18017",2015,40
"18019",2015,147
"18021",2015,16
"18023",2015,15
"18025",2015,0
"18027",2015,20
"18029",2015,53
"18031",2015,20
"18033",2015,29
"18035",2015,314
"18037",2015,81
"18039",2015,271
