GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0500000US01115,01115,"St. Clair County, Alabama",43441,2591,21552,1408,593,330,2474,701,8760,1615,4824,953,1191,483,1848,678,1862,972,21889,1433,784,414,2539,812,7935,1330,5182,1077,1303,813,3017,1477,1129,557
0500000US01117,01117,"Shelby County, Alabama",98777,865,48140,556,1214,610,2850,1133,9232,1564,9726,1363,2436,735,14946,1479,7736,1319,50637,363,1478,745,2845,706,13013,1516,10964,1459,4006,937,12929,1128,5402,873
0500000US01121,01121,"Talladega County, Alabama",36764,174,17471,174,1771,636,2520,810,4916,1024,3597,851,1588,664,2101,690,978,377,19293,270,1190,530,2914,798,7054,916,4202,868,1593,838,1386,495,954,370
0500000US01125,01125,"Tuscaloosa County, Alabama",72476,471,35445,170,1780,570,3709,822,9338,1471,7741,1153,2292,1002,6602,1163,3983,1053,37031,326,1342,554,3756,783,10804,1509,7728,1283,2796,852,6342,1249,4263,895
0500000US01127,01127,"Walker County, Alabama",44715,159,21176,149,2218,810,3252,686,6610,1070,4943,948,1275,511,1542,533,1336,421,23539,100,1621,560,3974,813,9608,1099,3706,899,2416,722,1249,483,965,391
0500000US02020,02020,"Anchorage Municipality, Alaska",121532,1045,61536,737,771,453,2351,632,13340,1629,18187,1907,4708,910,12658,1475,9521,1319,59996,611,685,327,2113,746,12694,1542,16388,1637,4384,869,14404,1712,9328,1153
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",40142,649,20411,242,426,288,544,365,5137,989,6063,1045,1772,583,3576,833,2893,664,19731,640,106,136,730,287,4856,948,5600,1170,1859,629,3929,844,2651,674
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",42453,568,21377,223,587,291,1070,545,7673,847,5671,710,2090,548,2661,699,1625,506,21076,525,206,149,893,452,6192,819,6454,911,1725,516,3948,772,1658,815
0500000US04001,04001,"Apache County, Arizona",9970,713,4826,437,315,247,461,355,1271,476,1067,443,433,425,468,277,811,415,5144,398,98,92,417,330,1967,628,860,368,459,366,715,344,628,384
0500000US04003,04003,"Cochise County, Arizona",68576,1305,33087,788,1390,486,2881,825,7094,1197,9809,1151,2858,705,5792,1231,3263,727,35489,741,2034,579,3782,953,10656,1217,9686,1164,2945,736,3478,709,2908,634
0500000US04005,04005,"Coconino County, Arizona",48147,1034,24259,689,1146,641,1759,720,4212,971,5461,968,1692,593,6509,1080,3480,668,23888,557,765,515,1396,511,4669,921,5161,1023,2255,685,5308,1054,4334,832
0500000US04013,04013,"Maricopa County, Arizona",1851575,8591,912490,5710,53427,4535,72782,5325,195610,7987,221311,6931,78519,5317,189380,7466,101461,5074,939085,4668,43918,4427,67337,5804,247482,6909,246806,7543,83566,4896,163039,6392,86937,4830
